trial,route,mean,std,count,sem,ci_lower,ci_upper
111,Route A,-30.12394495179137,1.94395483455103,500,0.0869363031049092,-30.29434010587699,-29.953549797705747
112,Route A,-30.325386728616806,1.921030378844364,500,0.08591109027876342,-30.493772465563183,-30.15700099167043
113,Route A,-30.474277303585417,1.8833757867368297,500,0.08422712572641396,-30.63936247000919,-30.309192137161645
114,Route A,-30.61361547678883,1.8804067899738022,500,0.08409434815467183,-30.778440399171988,-30.448790554405672
115,Route A,-30.751734081546157,1.881792379462549,500,0.08415631360038678,-30.916680456202915,-30.5867877068894
116,Route A,-30.90576250420012,1.8525154748645887,500,0.08284701062335047,-31.068142645021886,-30.743382363378352
117,Route A,-31.060961862694445,1.8668962390651884,500,0.08349013794976919,-31.22460253307599,-30.897321192312898
118,Route A,-31.27355314857552,1.8140147544556908,500,0.08112520606301028,-31.43255855245902,-31.11454774469202
119,Route A,-31.402710797015583,1.807926892022867,500,0.08085294857826106,-31.561182576228976,-31.24423901780219
120,Route A,-31.53244035652388,1.8110227465337874,500,0.0809913994009584,-31.69118349934976,-31.373697213698005
121,Route A,-31.60299503547152,1.8036702966891707,500,0.08066258784788398,-31.761093707653373,-31.444896363289665
122,Route A,-31.72632497517795,1.7662678727145527,500,0.0789899005972737,-31.881145180348607,-31.57150477000729
123,Route A,-31.826158412996254,1.7467693562879736,500,0.07811790043346917,-31.979269497845852,-31.673047328146655
124,Route A,-31.92565325199747,1.7684164141065748,500,0.07908598628937438,-32.08066178512465,-31.770644718870297
125,Route A,-31.992024019844163,1.7727481091117674,500,0.07927970557916252,-32.14741224277932,-31.836635796909004
126,Route A,-32.101236255946354,1.7732883399586845,500,0.0793038654371075,-32.25667183220308,-31.945800679689622
127,Route A,-32.1967477684705,1.8042579837817965,500,0.0806888700136562,-32.35489795369727,-32.038597583243735
128,Route A,-32.26645972129728,1.7761283527466716,500,0.07943087467012566,-32.42214423565073,-32.110775206943835
129,Route A,-32.37884985406717,1.7592784133363162,500,0.0786773224713595,-32.533057406111034,-32.224642302023305
130,Route A,-32.47032430947378,1.7426949932296691,500,0.07793568937820151,-32.623078260655056,-32.31757035829251
131,Route A,-32.54272875446529,1.735760708437454,500,0.0776255787347868,-32.69487488878547,-32.3905826201451
132,Route A,-32.589609033764496,1.7330909798055671,500,0.07750618484073926,-32.74152115605234,-32.43769691147665
133,Route A,-32.6371585783989,1.7239204294689074,500,0.07709606536186217,-32.78826686650815,-32.486050290289654
134,Route A,-32.69016976485049,1.717585943208397,500,0.07681277852424138,-32.840722810758,-32.53961671894297
135,Route A,-32.74466180377194,1.6826911694346118,500,0.07525223679988817,-32.89215618789972,-32.59716741964416
136,Route A,-32.794212022425526,1.669309592318746,500,0.07465379447834353,-32.94053345960308,-32.64789058524797
137,Route A,-32.851159221047,1.6834637573580067,500,0.07528678798219429,-32.9987213254921,-32.7035971166019
138,Route A,-32.927697401158575,1.6906485089545948,500,0.07560809984162271,-33.07588927684816,-32.77950552546899
139,Route A,-32.983161113020586,1.7194622342874792,500,0.07689668881220946,-33.133878623092514,-32.83244360294866
140,Route A,-33.022857887090154,1.7460036297938373,500,0.07808365610360794,-33.175901853053226,-32.86981392112708
141,Route A,-33.074387029103995,1.7246622157751776,500,0.07712923905397415,-33.22556033764978,-32.92321372055821
142,Route A,-33.10588717819558,1.7525396569789042,500,0.07837595612537987,-33.25950405220132,-32.95227030418984
143,Route A,-33.15177157399891,1.762482873832141,500,0.07882063030135704,-33.30626000938957,-32.997283138608246
144,Route A,-33.18634299282201,1.7629513193820745,500,0.07884157982322522,-33.34087248927553,-33.03181349636849
145,Route A,-33.254934925644655,1.757061693513012,500,0.07857818774711992,-33.40894817362901,-33.1009216776603
146,Route A,-33.28834741158575,1.7489084993852637,500,0.07821356582105198,-33.44164600059501,-33.135048822576486
147,Route A,-33.31210868338213,1.7646776602288945,500,0.0789187841329417,-33.466789500282694,-33.15742786648156
148,Route A,-33.340500751516885,1.7850027615386175,500,0.07982775029650391,-33.49696314209803,-33.18403836093574
149,Route A,-33.38713323135709,1.7905567428462468,500,0.08007613189149636,-33.544082449864426,-33.230184012849755
150,Route A,-33.43594022627661,1.780071849897497,500,0.0796072332240921,-33.59197040339583,-33.27991004915739
151,Route A,-33.43938295926862,1.7644407383023697,500,0.0789081886622803,-33.594043009046686,-33.284722909490554
152,Route A,-33.484768767766376,1.7322187785329959,500,0.07746717881402865,-33.636604438241875,-33.332933097290876
153,Route A,-33.5167507502718,1.7372019205070348,500,0.07769003169793831,-33.66902321239976,-33.364478288143836
154,Route A,-33.532541744617994,1.737674316008738,500,0.07771115786701978,-33.68485561403735,-33.380227875198635
155,Route A,-33.603079019640866,1.7312024437248505,500,0.0774217269396504,-33.75482560444258,-33.45133243483915
156,Route A,-33.64681883916271,1.7535984141765693,500,0.07842330518669278,-33.80052851732863,-33.493109160996795
157,Route A,-33.72072777724992,1.7587930023339406,500,0.07865561423139275,-33.87489278114345,-33.56656277335639
158,Route A,-33.79313208823215,1.7581582567902605,500,0.07862722754771106,-33.94724145422566,-33.639022722238636
159,Route A,-33.84093367042169,1.7623778564868315,500,0.07881593378289847,-33.995412900636175,-33.68645444020721
