trial,route,mean,std,count,sem,ci_lower,ci_upper
106,Route A,0.21602726170504347,0.11244591299833491,500,0.0050287341051260806,0.20617094285899634,0.2258835805510906
107,Route A,0.18760552378310213,0.10155985731543409,500,0.004541894894849798,0.17870340978919652,0.19650763777700775
108,Route A,0.1676133831912041,0.09209157640064643,500,0.004118460499739216,0.15954120061171526,0.17568556577069297
109,Route A,0.15343231455967088,0.08397193879239613,500,0.003755339266844987,0.1460718495966547,0.16079277952268706
110,Route A,0.1405745301083621,0.07602946462339195,500,0.003400141023816397,0.13391025370168197,0.14723880651504223
111,Route A,0.1303694558631714,0.06803780185184036,500,0.003042742999607522,0.12440567958394065,0.13633323214240214
112,Route A,0.1228136942257768,0.06360138504562093,500,0.0028443404085029393,0.11723878702511104,0.12838860142644257
113,Route A,0.1160885512124594,0.05992342169551662,500,0.0026798568871112174,0.11083603171372142,0.12134107071119737
114,Route A,0.1126085686275242,0.05795738282141402,500,0.002591932955733206,0.10752838003428712,0.11768875722076129
115,Route A,0.10850743231895495,0.05515124243753374,500,0.0024664385426779326,0.1036732127753062,0.1133416518626037
116,Route A,0.10470977169107146,0.05339957067507121,500,0.002388101399975271,0.10002909294711992,0.10939045043502299
117,Route A,0.10099319706421679,0.05287829555588446,500,0.0023647892679456535,0.09635821009904331,0.10562818402939027
118,Route A,0.09741883818229766,0.05109615219863223,500,0.00228508939409634,0.09294006296986883,0.10189761339472649
119,Route A,0.0905912954423536,0.046730153827504534,500,0.002089836011146442,0.08649521686050657,0.09468737402420063
120,Route A,0.08760581834371821,0.04470665891094643,500,0.0019993425674354587,0.08368710691154471,0.0915245297758917
121,Route A,0.08512029609072537,0.043724566632114124,500,0.0019554220655225245,0.08128766884230122,0.08895292333914952
122,Route A,0.08315258685529124,0.04234038619195491,500,0.0018935196343760926,0.0794412883719141,0.08686388533866839
123,Route A,0.08044676699230695,0.04023739933933351,500,0.0017994712032110972,0.0769198034340132,0.0839737305506007
