trial,choice,travel_time,reward,prediction_error,P_A,P_B,P_C,Q_A,Q_B,Q_C
129,B,27.457395288811185,-27.457395288811185,-2.156104567161826,0.08664044113610592,0.6433974754956291,0.269962083368265,-31.984610711067226,-25.948122091797906,-28.196227968103614
130,B,23.509444308115782,-23.509444308115782,2.438677783682124,0.09773141706061236,0.5977482386954255,0.30452034424396224,-31.984610711067226,-25.21651875669327,-28.196227968103614
131,C,29.304298223399854,-29.304298223399854,-1.1080702552962407,0.08522800351950233,0.6492109133449878,0.2655610831355099,-31.984610711067226,-25.21651875669327,-28.528649044692486
132,B,23.73235407096792,-23.73235407096792,1.48416468572535,0.08743178348880559,0.6659978606815563,0.24657035582963796,-31.984610711067226,-24.771269350975665,-28.528649044692486
133,B,23.52365251205067,-23.52365251205067,1.2476168389249942,0.07983357450598322,0.6950241249756645,0.22514230051835238,-31.984610711067226,-24.39698429929817,-28.528649044692486
134,A,36.16084944813128,-36.16084944813128,-4.176238737064054,0.07374304178969696,0.718290846477337,0.207966111732966,-33.237482332186445,-24.39698429929817,-28.528649044692486
135,B,24.943077045090277,-24.943077045090277,-0.5460927457921088,0.05183678941277644,0.7352786384971319,0.2128845720900917,-33.237482332186445,-24.560812123035802,-28.528649044692486
136,B,24.310858655336933,-24.310858655336933,0.2499534676988695,0.053731582445521286,0.725602263916905,0.22066615363757378,-33.237482332186445,-24.485826082726142,-28.528649044692486
137,B,24.106310695155734,-24.106310695155734,0.37951538757040737,0.05285898648637376,0.73005845792437,0.21708255558925635,-33.237482332186445,-24.37197146645502,-28.528649044692486
138,C,25.83532589937146,-25.83532589937146,2.6933231453210276,0.051551289436641244,0.7367366366341253,0.21171207392923352,-33.237482332186445,-24.37197146645502,-27.720652101096178
139,A,34.51356700793255,-34.51356700793255,-1.2760846757461053,0.04872185622995147,0.6963002648758683,0.2549778788941804,-33.62030773491028,-24.37197146645502,-27.720652101096178
140,B,27.146709804950486,-27.146709804950486,-2.7747383384954674,0.043666462033922035,0.7000006256387011,0.25633291232737687,-33.62030773491028,-25.20439296800366,-27.720652101096178
141,B,22.473885580610464,-22.473885580610464,2.730507387393196,0.05165736218665866,0.6451011688303546,0.30324146898298654,-33.62030773491028,-24.3852407517857,-27.720652101096178
142,B,24.522315433816313,-24.522315433816313,-0.13707468203061168,0.043788237711002057,0.6991639966737061,0.25704776561529186,-33.62030773491028,-24.426363156394885,-27.720652101096178
143,B,26.38228590617773,-26.38228590617773,-1.9559227497828466,0.04416685387080029,0.6965628101847638,0.25927033594443594,-33.62030773491028,-25.01313998132974,-27.720652101096178
144,B,24.960286806783223,-24.960286806783223,0.05285317454651661,0.04976165729006475,0.6581251294734227,0.29211321323651246,-33.62030773491028,-24.997284028965787,-27.720652101096178
145,B,25.85487696311636,-25.85487696311636,-0.8575929341505741,0.04960599280499479,0.6591945829156317,0.29119942427937356,-33.62030773491028,-25.25456190921096,-27.720652101096178
146,C,24.668707946756566,-24.668707946756566,3.051944154339612,0.05216000272208771,0.6416479042622246,0.3061920930156877,-33.62030773491028,-25.25456190921096,-26.805068854794293
147,C,28.79115161306956,-28.79115161306956,-1.9860827582752663,0.04755704266721313,0.5850244472361703,0.3674185100966165,-33.62030773491028,-25.25456190921096,-27.400893682276873
148,B,23.41565762839289,-23.41565762839289,1.8389042808180704,0.05060014189853598,0.6224592275724344,0.3269406305290296,-33.62030773491028,-24.702890624965537,-27.400893682276873
149,B,23.49604524358623,-23.49604524358623,1.2068453813793063,0.045502371384330095,0.6604950145362541,0.2940026140794158,-33.62030773491028,-24.340837010551745,-27.400893682276873
150,B,26.942983945986313,-26.942983945986313,-2.6021469354345683,0.042297040890309084,0.6844108160576197,0.2732921430520713,-33.62030773491028,-25.121481091182115,-27.400893682276873
151,B,23.526299470980632,-23.526299470980632,1.5951816202014832,0.049348950276397,0.6317946925287277,0.3188563571948753,-33.62030773491028,-24.64292660512167,-27.400893682276873
152,B,24.5919879793742,-24.5919879793742,0.05093862574747021,0.04496329313188295,0.6645172170873044,0.2905194897808127,-33.62030773491028,-24.627645017397427,-27.400893682276873
153,B,20.486556435042836,-20.486556435042836,4.141088582354591,0.044826417577762526,0.665538481069779,0.2896351013524585,-33.62030773491028,-23.385318442691048,-27.400893682276873
154,B,27.45470042832837,-27.45470042832837,-4.069381985637321,0.03446627868958487,0.7428381622869302,0.22269555902348498,-33.62030773491028,-24.606133038382243,-27.400893682276873
155,B,25.727656027396378,-25.727656027396378,-1.1215229890141352,0.044634089096917545,0.6669734937099338,0.28839241719314856,-33.62030773491028,-24.942589935086485,-27.400893682276873
156,B,23.877351308342305,-23.877351308342305,1.0652386267441791,0.04768783586363815,0.644188697662964,0.30812346647339794,-33.62030773491028,-24.62301834706323,-27.400893682276873
157,B,23.331087655288247,-23.331087655288247,1.2919306917749829,0.04478501788015044,0.6658473749429635,0.28936760717688603,-33.62030773491028,-24.235439139530733,-27.400893682276873
158,C,29.74796572596312,-29.74796572596312,-2.3470720436862464,0.041387087861123245,0.6912002114352158,0.26741270070366097,-33.62030773491028,-24.235439139530733,-28.105015295382746
159,B,26.35482377795539,-26.35482377795539,-2.1193846384246555,0.04360758769207106,0.7282844817224402,0.2281079305854889,-33.62030773491028,-24.87125453105813,-28.105015295382746
160,B,27.487869052335583,-27.487869052335583,-2.6166145212774516,0.04992118283337122,0.6889449569560888,0.2611338602105399,-33.62030773491028,-25.65623888744137,-28.105015295382746
161,B,25.655976353594117,-25.655976353594117,0.0002625338472519445,0.058356966133560874,0.63638224131876,0.30526079254767924,-33.62030773491028,-25.656160127287194,-28.105015295382746
162,B,24.13309163171841,-24.13309163171841,1.5230684955687828,0.0583560886536745,0.6363877088283089,0.3052562025180167,-33.62030773491028,-25.19923957861656,-28.105015295382746
163,B,25.979167869189705,-25.979167869189705,-0.7799282905731459,0.05336656958794755,0.6674770176080802,0.2791564128039721,-33.62030773491028,-25.433218065788502,-28.105015295382746
164,B,25.564700684835323,-25.564700684835323,-0.13148261904682101,0.055895623735907764,0.6517186761144517,0.29238570014964077,-33.62030773491028,-25.472662851502548,-28.105015295382746
