alpha,beta,negative_log_likelihood
0.11,0.5,134.62450580839274
0.11,0.51,134.90297144650856
0.11,0.52,135.22716801148445
0.11,0.53,135.59551116356195
0.11,0.54,136.00646182820358
0.11,0.55,136.4585260770601
0.11,0.56,136.9502548695256
0.11,0.57,137.48024367056962
0.11,0.58,138.04713195948355
0.11,0.59,138.64960264313595
0.11,0.6,139.28638138631817
0.11,0.61,139.9562358707717
0.11,0.62,140.6579749935529
0.11,0.63,141.39044801448077
0.11,0.64,142.15254366155233
0.11,0.65,142.94318920240892
0.11,0.66,143.76134948916385
0.11,0.67,144.60602598319034
0.11,0.68,145.47625576580344
0.11,0.69,146.37111054014176
0.11,0.7,147.28969562898718
0.11,0.71,148.23114897272288
0.11,0.72,149.1946401311414
0.11,0.73,150.17936929236495
0.11,0.74,151.18456629172522
0.11,0.75,152.20948964307874
0.11,0.76,153.25342558467872
0.11,0.77,154.31568714142705
0.11,0.78,155.39561320503455
0.11,0.79,156.492567633367
0.11,0.8,157.60593837002705
0.11,0.81,158.735136585007
0.11,0.82,159.87959583707078
0.11,0.83,161.03877125834634
0.11,0.84,162.21213876147854
0.11,0.85,163.39919426954071
0.11,0.86,164.59945296880719
0.11,0.87,165.8124485843736
0.11,0.88,167.03773267852887
0.11,0.89,168.2748739717015
0.11,0.9,169.5234576857413
0.11,0.91,170.78308490923285
0.11,0.92,172.05337198448845
0.11,0.93,173.33394991583654
0.11,0.94,174.6244637987694
0.11,0.95,175.92457226950063
0.11,0.96,177.23394697445298
0.11,0.97,178.5522720591783
0.11,0.98,179.87924367619752
0.11,0.99,181.2145695112444
0.11,1.0,182.55796832738054
0.12,0.05,198.8323395378357
0.12,0.06,195.00437251410534
0.12,0.07,191.29549577081772
0.12,0.08,187.70639437260155
0.12,0.09,184.23757058884843
0.12,0.1,180.88934051696097
0.12,0.11,177.66183211992973
0.12,0.12,174.55498470337614
0.12,0.13,171.5685498308794
0.12,0.14,168.70209365041768
0.12,0.15,165.95500057995605
0.12,0.16,163.32647827739305
0.12,0.17,160.81556379992793
0.12,0.18,158.42113084092404
0.12,0.19,156.14189791892468
0.12,0.2,153.97643738378926
0.12,0.21,151.92318509902464
0.12,0.22,149.9804506571239
0.12,0.23,148.14642798588457
0.12,0.24,146.41920620787033
0.12,0.25,144.79678062198678
0.12,0.26,143.2770636850915
0.12,0.27,141.85789588214067
0.12,0.28,140.5370563851279
0.12,0.29,139.3122734135083
0.12,0.3,138.1812342215334
0.12,0.31,137.14159465057114
0.12,0.32,136.19098819674568
0.12,0.33,135.32703455587685
0.12,0.34,134.54734761851742
0.12,0.35,133.84954289778244
0.12,0.36,133.23124438152493
0.12,0.37,132.69009080822684
0.12,0.38,132.2237413727257
0.12,0.39,131.82988087362247
0.12,0.4,131.50622431895707
0.12,0.41,131.25052101056835
0.12,0.42,131.0605581305455
0.12,0.43,130.93416385540598
0.12,0.44,130.8692100252036
0.12,0.45,130.8636143957378
0.12,0.46,130.9153425025
0.12,0.47,131.02240916503234
0.12,0.48,131.18287966004632
0.12,0.49,131.3948705910307
0.12,0.5,131.65655048122701
0.12,0.51,131.9661401158105
0.12,0.52,132.3219126579418
0.12,0.53,132.7221935620778
0.12,0.54,133.16536030659873
0.12,0.55,133.64984196642942
0.12,0.56,134.17411864495142
0.12,0.57,134.7367207831281
0.12,0.58,135.33622836240866
0.12,0.59,135.97127001666652
